"year","EcozoneName","ColdToleranceSurvival","GrowthRate","LoganProbability","PeakAdultEmergence","PeakHatchDay","PeakPupation","SafranyikProbability"
1872,"Arctic Cordillera",NA,0,NA,359.272091342362,344.321558831057,355.850176155416,NA
1872,"Atlantic Maritime",NA,3.77788757485147,NA,196.105919105011,154.032347433054,184.202000548345,NA
1872,"Boreal Cordillera",NA,0.0215914059222967,NA,316.411448284845,191.583022299331,257.030376233974,NA
1872,"Boreal Plain",NA,3.94500885202619,NA,191.125149632432,149.396921971541,179.174837416109,NA
1872,"Boreal Shield East",NA,2.44050523262374,NA,201.120807383789,156.854314921732,188.340979998637,NA
1872,"Boreal Shield West",NA,3.42595208920345,NA,189.814301073054,148.582861048145,178.713489669588,NA
1872,"Hudson Plain",NA,2.47481537481307,NA,216.140013766335,164.429350801543,198.680667648917,NA
1872,"MixedWood Plain",NA,1.25533546411802,NA,173.365120978082,129.022756596245,162.018291103609,NA
1872,"Montane Cordillera",NA,1.7043518037171,NA,223.251124538447,169.389518446213,205.398893393841,NA
1872,"Northern Arctic",NA,0,NA,358.256770228428,301.250769091981,347.633122268342,NA
1872,"Pacific Maritime",NA,2.06125613670689,NA,219.853044355195,159.331310490124,197.496607059393,NA
1872,"Prairie",NA,2.53500659484434,NA,180.535953236784,137.37757603978,168.103886993702,NA
1872,"Southern Arctic",NA,0.00482351374292581,NA,273.104692258651,199.839047377205,248.756147727288,NA
1872,"Taiga Cordillera",NA,0.00226312909005379,NA,248.34651108372,181.431630679152,224.365712675112,NA
1872,"Taiga Plain",NA,1.723801684553,NA,212.405701165089,165.272501301307,198.38124525828,NA
1872,"Taiga Shield",NA,0.955988160914373,NA,224.527789965545,172.784177827408,207.767870581566,NA
1873,"Arctic Cordillera",NA,0,NA,357.893900348616,344.613969296195,354.722372517552,NA
1873,"Atlantic Maritime",NA,3.65532082498768,NA,203.795724564269,161.368184522186,191.325093721062,NA
1873,"Boreal Cordillera",NA,0.0360310389356748,NA,313.427664555994,189.70394218369,247.179625466144,NA
1873,"Boreal Plain",NA,3.40923937340405,NA,188.450298280037,145.577837023581,177.180473703074,NA
1873,"Boreal Shield East",NA,2.81230720838405,NA,203.951825784512,160.570041554505,191.734082256354,NA
1873,"Boreal Shield West",NA,3.37067774106059,NA,190.65867263891,149.124200619881,179.550337311687,NA
1873,"Hudson Plain",NA,3.01238024916462,NA,217.043862722973,164.887706687057,200.960352205283,NA
1873,"MixedWood Plain",NA,1.14335029952389,NA,179.774698151132,138.94860871127,169.085153754431,NA
1873,"Montane Cordillera",NA,1.81114370925847,NA,217.023659544734,165.367200757013,200.672957577271,NA
1873,"Northern Arctic",NA,2.07880629071917e-06,NA,364.799729146183,307.673629732468,354.900894008109,NA
1873,"Pacific Maritime",NA,2.18680600057438,NA,215.289882636488,155.195001573294,193.531126966546,NA
1873,"Prairie",NA,2.3387033973473,NA,177.235608549867,133.39595218104,166.295486145946,NA
1873,"Southern Arctic",NA,0.0590461264888482,NA,291.719135606468,201.441290955809,254.63664806205,NA
1873,"Taiga Cordillera",NA,0.0172101446156903,NA,245.268353890396,179.584700378667,222.404898337602,NA
1873,"Taiga Plain",NA,1.8233610040756,NA,212.919305252505,164.553744211452,197.519599615136,NA
1873,"Taiga Shield",NA,1.65872636297476,NA,221.963741447217,171.316475828509,205.150858452422,NA
1874,"Arctic Cordillera",NA,1.03107714163671e-06,NA,366.121636264476,352.362096762318,358.915835871178,NA
1874,"Atlantic Maritime",NA,3.38140746674663,NA,198.767850296107,157.057744321986,187.648409066946,NA
1874,"Boreal Cordillera",NA,0.0366422992246549,NA,334.584220473821,196.132550736124,288.176694514672,NA
1874,"Boreal Plain",NA,2.76157172363783,NA,186.456699512567,145.811476851337,175.646637579973,NA
1874,"Boreal Shield East",NA,2.13950152702312,NA,209.030419499551,165.984227357664,196.366866837181,NA
1874,"Boreal Shield West",NA,2.15330151882964,NA,189.227498797418,150.362289540816,179.156290631312,NA
1874,"Hudson Plain",NA,2.6278524806007,NA,219.602060120201,168.951307784344,204.147656772832,NA
1874,"MixedWood Plain",NA,0.537423035538187,NA,182.00673270165,142.648601014493,171.300774979257,NA
1874,"Montane Cordillera",NA,2.19504971791171,NA,210.69303683024,161.364472305123,195.312281736,NA
1874,"Northern Arctic",NA,0,NA,366.164931791787,325.926483005439,361.516901750963,NA
1874,"Pacific Maritime",NA,2.32678539145527,NA,218.755303944145,156.738901727873,197.675694804225,NA
1874,"Prairie",NA,0.660476471216343,NA,170.843534133079,134.634327843716,160.595691970936,NA
1874,"Southern Arctic",NA,0.0090892633647078,NA,314.576896059316,212.093897350921,273.992497166211,NA
1874,"Taiga Cordillera",NA,0.00682925097779712,NA,284.948454755973,185.215219261373,233.274753672042,NA
1874,"Taiga Plain",NA,1.96793848693018,NA,220.125178151971,168.355919279776,204.137545851084,NA
1874,"Taiga Shield",NA,1.54077337386387,NA,244.774619299601,180.231863963993,218.707462010839,NA
1875,"Arctic Cordillera",NA,0,0,366.050541249889,352.538452149841,358.406854217757,NA
1875,"Atlantic Maritime",NA,3.99368943806198,0.32768352221395,201.866515979578,158.793229049472,189.289931113069,NA
1875,"Boreal Cordillera",NA,0.0134773849439589,0,315.062981077939,195.186820264124,256.391790006035,NA
1875,"Boreal Plain",NA,2.54847391151519,0.25508332174722,184.806536184795,142.077541974975,173.6663542561,NA
1875,"Boreal Shield East",NA,2.15180234756506,0.136246850597528,214.554751151238,168.090275705448,201.50303144792,NA
